filename,transcript
0011.wav,"இவங்க யாரை உள்ளுக்குள்ள கும்பிடுட்டு இருந்தாங்க? ரெண்டு பெண் குழந்தைங்க யாரு? ஏன் இவங்க இந்த காட்டுக்குள்ள இருக்காங்க? இந்த எல்லா விஷயத்தையும் நான் இன்னைக்கு உங்ககிட்ட இந்த வீடியோல டீடைல்டா சொல்ல போறேன். பட், அதை பார்க்க ஆரம்பிக்கிறதுக்கு முன்னாடி, நீங்க இந்த சேனலை சப்ஸ்கிரைப் பண்ணலன்னா, சப்ஸ்கிரைப் பண்ணுங்க."
0012.wav,"அப்பனாதான் இந்த மாதிரி வேர்ல்டு ஃபுல்லா நடக்கக்கூடிய எல்லா விஷயத்தையும், என்னால டெய்லி உங்ககிட்ட, பத்து நிமிஷத்துல, சிம்பிளா வந்து சேர்க்க முடியும். சப்ஸ்கிரைப் பண்ணிட்டீங்களா, அப்பனாதான் யூட்யூப் உங்ககிட்ட நெக்ஸ்ட் டைம் இந்த கண்டென்ட் கரெக்டா வந்து சேர்க்கும்."
0013.wav,"இப்ப நான் உங்ககிட்ட ஒவ்வொன்னா எக்ஸ்பிளைன் பண்ண ஆரம்பிக்கிறேன். ஹலோ எவரிஒன், நான் மதன் கௌரி அண்ட் ஹலோ மை டியர் எம்ஜி ஸ்கவாட்."
0014.wav,"பர்ஸ்ட் விஷயம் என்ன அப்படின்னு பார்த்தீங்கன்னா, நான் என்ன நடக்குதுங்கறத சொல்ல ஆரம்பிச்சிறேன். நான் சொன்ன மாதிரி, அந்த பாரஸ்ட் அபிஷியல்ஸ் வந்து இந்த காட்டுக்குள்ள போறாங்கன்னு சொன்னேன்ல, இது எங்க இருக்குது அப்படின்னு பாத்தீங்கன்னால், ராமதீர்த்தா ஹில்ஸ் அப்படின்னு சொல்லப்படக்கூடியது வந்து கோகர்ணால இருக்குது."
0015.wav,கோகர்ணா நம்ம எல்லாருக்குமே தெரியும். ஒரு மிகப்பெரிய சிவன் வந்து கடல் கிட்ட வந்து உட்கார்ந்து இருக்கிற மாதிரி ஒரு பேமஸான ஒரு போட்டோ கூட நம்ம நிறைய இடத்துல பார்த்திருப்போம். இதுதான் கோகர்ணா.
0016.wav,"கோவா கிட்ட இருக்குது. கோவாக்கு போற வழியில, கண்டிப்பா எல்லாருமே ஒரு ஸ்பிரிச்சுவலா இன்ட்ரஸ்ட் இருக்கறவங்க வந்து சிவன் கோவிலுக்கு போயிட்டு போயிருப்பாங்க. அண்ட் இந்த கோகர்ணாங்கற இடம் சாதாரண இடம் கிடையாதுங்க. இது ஒரு நிறைய மித்தாலாஜிக்கல் ஸ்டோரீஸ் இது பின்னாடி இருக்குது."
0017.wav,"ஒரு சின்ன எக்ஸாம்பிள் சொல்லணும்னா, ராவணன் வந்து இந்த கோகர்ணால இந்த ராமதீர்த்தா ஹில்ஸ் கிட்டதான் வந்து ராவணன் ஓகேவா, சோ இலங்கையோட மன்னன்."
0018.wav,"அண்ட் ராவணன் கிளம்பி போனதுக்கு அப்புறம், ராமரும் வந்து ராவணனை தேடி போறப்போ இங்க இருக்கிற சிவனை வந்து கும்பிட்டுட்டு போயிருக்காங்க அப்படிங்கற ஒரு நம்பிக்கை இருக்குது. இங்க இருக்கிற சிவன் ஆட்டோமேட்டிக்காவே இங்க உருவாகி இருக்காங்க."
0019.wav,"சூயம்பு, ரொம்ப வருஷமாவே இங்க சிவன் இருக்காரு. இவர் எங்க இருந்துமே உருவாகல. எங்க இருந்து கொண்டு வரப்படல. இங்கதான் இருக்காருங்கிற நம்பிக்கை இருக்குது. சோ இந்த ஒரு இடத்தை வந்து நீங்க யோசிச்சு பாத்தீங்கன்னா, கோகர்ணாங்கற ஒரு இடத்துல இந்த ராமதீர்த்தா ஹில்ஸ் இந்த ஏரியால வந்து நம்பிக்கை எந்த அளவுக்கு இருக்கு."
0020.wav,நம்ம ஊர்ல திருவண்ணாமலை அளவுக்கு நம்பிக்கை இருக்குன்னு வச்சுக்கோங்களேன். சோ இங்க என்ன நம்புறாங்க. இங்கதான் வந்து ராவணன் வந்து சிவனை கும்பிட்டு வரம் வாங்கினது இங்கதான். ராமர் வந்து சிவனை கும்பிட்டது இங்கதான்.
0021.wav,"சிவன் இங்கதான் எப்பவுமே இருக்காருங்கிற இவ்வளவு ஸ்ட்ராங்கான பிலீப் இருக்கக்கூடிய இந்த ஒரு பர்டிகுலர் கோகர்ணாலதான் இது எல்லாமே நடக்குது. இந்த கோகர்ணால இருந்து கொஞ்ச தூரம் உள்ள காட்டுக்குள்ள போனோம்னா, ராமதீர்த்தா ஹில்ஸ் இருக்குது."
0022.wav,"இந்த ஹில்ஸ் வந்து, நான் சொன்ன மாதிரி, ரொம்ப டென்ஸான அடர்ந்த காடு பகுதி, அண்ட் நிறைய கிங் கோப்ராஸ் ஈஸியா பார்க்கக்கூடிய பகுதி, ஓகேவா. இந்த இடத்துக்குள்ளதான் வந்து பாரஸ்ட் அபிஷியல்ஸ் இவங்களை பார்த்த உடனே, போலீஸ் அலர்ட் பண்றாங்க."
0023.wav,"பாரஸ்ட் அபிஷியல்ஸ் வந்துறாங்க. எல்லாருமே வந்து அலர்ட் பண்ணி, முதல்ல இவங்க கிட்ட கேக்குறாங்க. யார் நீங்க? யார் நீங்கன்னு கேட்ட உடனே, ஃபைனலி அங்க இருந்து குரல் வருது."
0024.wav,"இங்க இருக்க எந்த பிரச்சனையுமே இல்ல, நானும் என்னோட மகள்களும் சந்தோஷமா இருக்கும் அப்படின்னு சொல்லிட்டு, உள்ள இருக்கற நினா குட்டினா சொல்றாங்க, பரலுக்கு இங்க இருந்து பாரஸ்ட் டிபார்ட்மென்ட் சொல்றாங்க, இல்லைங்க, நீங்க வாங்க, இந்த இடத்துல வந்து நிறைய ஆபத்துகள் இருக்குது, நிறைய பாம்புகள் இருக்குது."
0025.wav,"அண்ட் இப்ப மழை பெய்றதுனால, லேண்ட்ஸ்லைட் எப்பனாலும் அடிச்சிட்டு போகோம். கர்நாடகால நம்மளுக்கு ஈஸியா தெரியும். போன வருஷமே வந்து பாத்தீங்கன்னால், ஒரு நம்மளே நம்ம சேனல்ல பேசி இருக்கோம். லேண்ட்ஸ்லைட் அந்த ரோட்ல போயிட்டு இருக்கப்போ, ஒரு ட்ரக் வந்து கம்ப்ளீட்டா அடிச்சிட்டு போயிடுச்சு."
0026.wav,"உங்களுக்கு ஞாபகம் இருந்திருக்கும். சோ, இந்த சைடுலாம் வந்து லேண்ட்ஸ்லைட் ப்ரோன், ஓகேவா, ரொம்ப ஆபத்தான பகுதி. நீங்க வாங்க, இதுக்குள்ள நீங்க இருக்க கூடாது. வாங்க வாங்க அப்படின்னு உடனே, ரொம்ப நேரம் அவங்க யோசிச்சுக்கிட்டு, ஃபைனலி அக்ரீ பண்ணி வராங்க."
0027.wav,"வந்த உடனே, கிட்ட இருக்கற ஒரு ஆசிரமத்துல இந்த ரஷ்யன் விமன் நினா குட்டினா, நாற்பது வயசு ஆகுது அவங்களுக்கு. அவங்க அப்புறம், பிரேமா அப்படிங்கிற ஆறு வயசு குழந்தை, அண்ட் ஆமா அப்படிங்கிற நாலு வயசு குழந்தை, எல்லாருமே வந்து கிட்ட இருக்கற ஒரு ஆசிரமத்துக்கு மூவ் பண்ணப்படுறாங்க."
0028.wav,"இப்ப இந்த கேவ் உள்ள போய் நீங்க பார்த்தீங்கன்னால், மொத்தமே வந்து ஒரு ரெண்டு பேர் படுக்கக்கூடிய சைஸ் தான் இருக்குது. சின்ன கேவ். ஒன்னும் பெரிய டீப்பான கேவ்ல்லாம் கிடையாது. ரொம்ப சின்ன கேவ். இந்த குகைக்குள்ள பாத்தீங்கனால், தரையில எதுவுமே வந்து பெட், ஒரு ஹைட் எதுவுமே கிடையாது."
0029.wav,"காட்டுக்குள்ள அப்படியே மண்ணோட மண்ணா தரை இருக்குது. அண்ட் இதுகிட்ட பாத்தீங்கன்னா, வந்து ஒரு சாமி சிலைய வச்சிருக்காங்க. மேல வந்து ஒரு சாமி படம் வச்சிருக்காங்க. அண்ட் ரஷ்யன் புக்ஸ் வந்து நிறைய இருக்குது."
0030.wav,"அதாவது, ஹிந்துயிஸம் பத்தின ரஷ்யன் புக்ஸ். ரஷ்யன் லாங்குவேஜ்ல, ஆனா ஹிந்துயிஸம் பத்தின புக்ஸ் வந்து அவங்கள சுத்தி நிறைய இருக்குது. அப்புறம், நேச்சுரல் லைட் வர்றதுக்கு கொஞ்சம் இடம் விட்டுருக்காங்க. பிளஸ் ஒரே ஒரு பிளாஷ் லைட்."
0031.wav,"இதுதான் உள்ளுக்குள்ள இருக்கிறது. இப்ப சா ப்பாடுக்குள்ள இவங்க என்ன பண்ணிட்டு இருந்தாங்கன்னு கேட்டீங்கன்னா, சுத்தி நிறைய கப் நூடுல்ஸ் இருக்குது. அப்புறம், எப்பவாவது கோகர்ணா மெயின் அந்த கோவில் கிட்ட போயிட்டு வரப்போ, இருக்கக்கூடிய ஒன்னு ரெண்டு சா ப்பாடு பொருட்கள் இருக்குது."
0032.wav,"அவ்வளவுதான். இந்த ரிசோர்ஸ் மட்டுமே வச்சுக்கிட்டு, காட்டுக்குள்ள, இரண்டு ஆயிரத்து இருபத்து ஐந்து-ல, இந்த அம்மா வந்து ரெண்டு பெண் குழந்தைகளை, ரெண்டு மாசமா வச்சு வளர்த்துருக்காங்க."
0033.wav,"ரெண்டு மாசமா? அத நான் அப்ப அதுக்கு முன்னாடி அப்படின்னுதான கேக்குறீங்க. இப்ப நான் இவங்களை பத்தி உங்ககிட்ட சொல்ல ஆரம்பிக்கிறேன். நினா குட்டினா அப்படிங்கற இவங்க வந்து, இந்தியாவுக்கு, இரண்டு ஆயிரத்து பதினாறு காலகட்டத்துல, தட் இஸ் ஆல்மோஸ்ட் பத்து இயர்ஸ் அகோ, வந்து ஒரு பிஸினஸ் விசால கோவாவுக்கு வந்திருக்காங்க."
0034.wav,"இவங்களுக்கு வந்து வீசா எக்ஸ்பயர் ஆயிடுச்சு, அக்டோபர் இரண்டு ஆயிரத்து பதினாறு வந்திருக்காங்க, அண்ட் இரண்டு ஆயிரத்து பதினேழு ஏப்ரல் பதினேழு வந்து இவங்களுக்கு வீசா எக்ஸ்பயர் ஆயிடுச்சு, ஓகேவா."
0035.wav,"சோ, எக்ஸ்பயர் ஆனதுக்கு அப்புறம், இவங்க வந்து ஆனா எக்ஸ்ட்ராவா இருந்திருக்காங்க இந்தியால. பட், ஒரு வழியா கொஞ்ச நாள் கழிச்சு வந்து, இவங்க நேபாள் போயிடுறாங்க."
0036.wav,"நம்ம இப்போ ட்ரம்ப் பத்தி பேசுறோம் இல்ல. இந்தியன்ஸ் வந்து ஓவர் ஸ்டே பண்ணிட்டாங்க, நாங்க வெளிய அனுப்பிச்சிருவோம், அரெஸ்ட் பண்ணுவோம். சோ, இந்தியாவலையும் அதே ரூல்ஸ்தான். வெளிநாட்டுல இருந்து ஒருத்தங்க உள்ள வந்தாங்கன்னா, சொன்ன ரூல்ஸ் ஃபாலோ பண்ணு, எக்ஸ்ட்ராவா எல்லாம் இருக்காதாங்கறதுதான் ரூல்ஸ்."
0037.wav,"சோ, இவங்க என்ன பண்றாங்கன்னு பாத்தீங்கன்னா, நேபாளுக்கு எக்ஸிட் ஆயிருக்காங்க. இந்தியாவுக்கு எக்ஸிட் ஆயிட்டாங்க. பட், நேபாள்ல இருந்து மறுபடியும் இந்தியாவுக்கு இல்லீகலா உள்ளுக்குள்ள வந்துருக்காங்க. எப்போ? இரண்டு ஆயிரத்து பதினேழு-ல."
0038.wav,"விச் இஸ் எட்டு இயர்ஸ் அகோ. இரண்டு ஆயிரத்து பதினேழு-ல இருந்து இன்னைக்கு வரைக்கும், அவங்க இந்தியால இல்லீகலா இருந்திருக்காங்க. இந்தியாலயே ரெண்டு குழந்தைகளும் பிறந்திருக்காங்க."
0039.wav,"இவங்க வந்து ரஷ்யன் குழந்தைங்க கிடையாது. ஆனா, இந்தியன் குழந்தைகளும் கிடையாது. புரியலைல, இன்னும் எக்ஸ்பிளைன் பண்றேன்."
0040.wav,"ட்ரம்போட மொழில சொல்ல, ஏலியன் இந்தியால இருக்க கூடாத ஒருத்தங்க, கரெக்டா, ஏன்னா வீசா எக்ஸ்பயர் ஆயிடுச்சு."
0041.wav,"அவங்க இந்தியால பிறந்ததுனால, ரஷ்யால பிறக்கலங்கறதுனால, ரஷ்யன் கவர்மென்ட் அவங்களுக்கு ரஷ்யன் சிட்டிசன்ஷிப் கொடுக்காது, யாரு இந்த ரெண்டு பெண் குழந்தைகளுக்கு. சோ, இப்ப இனிமே நம்ம வந்து என்ன நடக்குதுங்கறத வெயிட் பண்ணி பா ப்போம்."
0042.wav,"ரெண்டு கண்ட்ரியோட ரூல்ஸும் தெளிவா இருக்குது. இப்ப அடுத்த விஷயம் என்னன்னு பாத்தீங்கன்னால், ஏன்னா அவங்க இங்க வந்து எப்படி அவங்க இல்லீகலா இருக்காங்களோ, அந்த ரஷ்யன் பெண் வந்து ரஷ்யால இருந்து வெளியில இல்லீகலாதான் இருக்காங்க."
0043.wav,"ஏன்னா, அவங்க வீசா வந்து ரஷ்யாவுக்கும் இந்தியாவுக்கும் இருக்கற அக்ரிமென்ட் கரெக்ட்டா, இவங்க திருப்பி போயிடுவாங்கன்னு. அங்கேயுமே வந்து அவங்க ஈஸியா அக்ஸெப்ட் பண்ணுவாங்கன்னு எம்பஸில இருந்துகிட்டு, அவங்களுக்கு பெருசா சப்போர்ட் பண்ணுவாங்கன்னு தோணலன்னுதான் மீடியாலல்லாம் நம்மளால பார்க்க முடியுது."
0044.wav,"இவ நெக்ஸ்ட் ஸ்டெப் என்னன்னு பாத்தீங்கன்னா, இவங்க இங்க இருக்காங்க. ரெண்டு குழந்தைங்க வந்து அப்பா எங்க இருக்காங்க அப்படிங்கற கேள்விக்கு வந்து, அவங்க இன்னும் பதில் சொல்லல. அவங்க வந்து சொல்ல முடியாது அப்படிங்கறதுல ரொம்ப தெளிவா இருக்காங்க."
0045.wav,"அது அவங்களோட பிரைவசி, நம்ம அத ரெஸ்பெக்ட் பண்ணலாம். அதுக்கு அடுத்த ஸ்டெப் என்னன்னு பார்த்தீங்கன்னா, ஏன் இங்க இருக்கீங்க அப்படிங்கிற கேள்விக்கு வந்து அவங்க என்ன சொல்றாங்கன்னா, எனக்கு வந்து இங்க மிகப்பெரிய ஒரு எனர்ஜி இருக்குது, எனக்கு ஒரு சோல் இருக்குது."
0046.wav,"எனக்கு வந்து இங்க இருக்கற ஸ்பிரிச்சுவாலிட்டி கனெக்ட் ஆகுது. அதனால நான் இங்க இருக்கேன் அப்படின்னு இருக்காங்க. இவங்க உண்மையிலேயே இததான் சொல்றாங்களா, இல்ல வந்து நம்ம சொல்ல முடியாது. ஏதாவது ஒரு மிகப்பெரிய நாட்டுல வந்து ஏதாவது ஒரு அந்த நாட்டில இருந்துகிட்டு தப்பிச்சு இங்க வந்தவங்கள, எதுவுமே நம்மளுக்கு தெரியாது, கரெக்டா."
0047.wav,இங்க இருக்கற போலீஸ் எல்லா ஆங்கிள்லயும் கேட்கதான் செய்வாங்க.
0048.wav,"அந்த மெசேஜ் வந்து, நான் உங்களுக்கு ட்ரான்ஸ்லேட் பண்றேன். பர்ஸ்ட், அந்த இங்கிலீஷ்ல நான் சொல்ல சொல்ல, அப்படியே ட்ரான்ஸ்லேட் பண்ணிக்கிறேன். அவங்க சொல்றாங்க, அதாவது, கா ப்பாற்றி வந்து, அவங்கள வந்து முதல்ல எங்க வைக்கிறாங்க, ஒரு ஆசிரமத்துல வைக்கிறாங்க."
0049.wav,"ஆசிரமத்தில இருந்து, விமன் போலீஸ் ஸ்டேஷன்க்கு எல்லாம் கொண்டு போயிடுறாங்க."
0050.wav,"அண்ட், எங்களை வந்து தரையில இப்படி உட்கார வச்சுக்கிட்டு, இந்த ஹார்ட் தரைய எல்லாம் கொடுத்துக்கிட்டு, எங்களை காட்டுக்குள்ள இருந்த பாம்பு கிட்ட இருந்து, மழை மழை கிட்ட இருந்தும் கா ப்பாத்துறோம்ங்கறாங்க."
0051.wav,"ஐ வாண்ட் டு ஷேர் வித்து யு சாலிட் நாலெட்ஜ் பேஸ்டு ஆன் மெனி இயர்ஸ் ஆஃப் ரியல் எக்ஸ்பீரியன்ஸ் ஆஃப் லிவிங் இன் தி ஜங்கிள். நான் உங்ககிட்ட எல்லாம் வந்து காட்டுக்குள்ள வாழ்றதோட உண்மையான எக்ஸ்பீரியன்ஸ்ல இருந்து, நான் எக்ஸ்பிளைன் பண்ணனும்."
0052.wav,"அண்டர் தி ஓபன் ஸ்கை, வானத்தை பார்த்து, இந்த ஹார்மனி வித்து நேச்சர், இயற்கையோட வாழ்றதுங்கறது, ரொம்ப அழகான ஒரு விஷயம். நாட் ஒன்ஸ் இன் அர் ஐயர், தட் டிட் அ ஸ்னேக் எவன் ஹார்ம்ஸ்."
0053.wav,"இத்தனை வருஷம் நான் காட்டுக்குள்ள இருந்திருக்கேன். எனக்கு பல வருஷ எக்ஸ்பீரியன்ஸ் இருக்குது. ஆனா, இவ்வளவு வருஷம் எனக்கு இருந்த எக்ஸ்பீரியன்ஸ்ல, ஒரு பாம்பு கூட எங்களை வந்து எங்களை பயமுறுத்துனது கிடையாது, எங்களை வந்து தாக்குனதும் கிடையாது."
0054.wav,"எங்களை காயப்படுத்தினதே கிடையாது, எந்த பாம்பும். ஒரு அனிமல் எங்களை தாக்குனது கிடையாது. ஒரு அனிமல் கூட எங்களை அட்டாக் பண்ணது கிடையாது. இத்தனை வருஷம் நாங்க வந்து பயந்தது மனிதர்களை பார்த்துதான்."
0055.wav,"இந்த அனிமல்ஸையோ, இங்க இருக்கற பாம்பையோ, இல்ல இங்க இருக்கற மழையவோ பார்த்து கிடையாது. இத பதிங் தட் நேச்சர் கவ்ஸ். மழைதான் வந்து இயற்கை நம்முக்கு கொடுக்கக்கூடிய இருக்கறதுலயே புனிதமான ஒரு விஷயம்."
0056.wav,"லிவிங் இன் தி ரெயின், ஹேவிங் அ கம்ஃபர்டபிள் பிளேஸ் இஸ் அ கரேட் ஜாய் அண்ட் ஸ்ட்ரெங்த் அண்ட் ஹெல்த். காட்டுக்குள்ள இந்த மாதிரி மழையோட இருக்கிறது, ஒரு மிகப்பெரிய சந்தோஷத்தையும், ஒரு மிகப்பெரிய ஸ்ட்ரெங்தையும், ஒரு மிகப்பெரிய ஆரோக்கியத்தையும் கொடுக்குது."
0057.wav,"ஒன்ஸ் அகைன், ஈவில் ஹாஸ் வன், மறுபடியும் இங்க இருக்கற தீய சக்திதான் ஜெயிச்சிருச்சு. பட், வி சின்ஸியர்லி விஷ் எவரி ஒன் ஆஃப் யு அ குட் லைஃப். பட், நாங்க வந்து, நாங்க மூணு பேரு, நாங்க மனசார உங்க எல்லாருக்கும் ஒரு நல்ல வாழ்க்கையை விஷ் பண்றோம்."
0058.wav,"நீங்க எல்லாருமே கைண்ட்னஸோட, சுதந்திரத்தோட, சந்தோஷமா இருக்கணும்னு."
0059.wav,"இட்ஸ் எ லாங் மெசேஜ், நான் மீதி உங்ககிட்ட சொல்றேன், இங்க இருக்கற பாம்புகள்தான் வந்து பாதிச்சிரும்னு நினைக்கிறாங்க, அங்க இருக்கற பாம்புகளை விட, இங்க இருக்கற மனுஷங்கதான் ஆபத்தா இருக்காங்க, அண்ட் பாம்பு வந்து, நீங்க சொல்ற மாதிரி, ஒரே நேரத்துல ஒரு முப்பது நாற்பது எல்லாம் வராது."
0060.wav,"இங்க, போலீஸ் ஒரே நேரத்துல வந்தாங்களே, அந்த மாதிரியே பாம்பு வரும்னு நினைச்சுக்கிட்டாங்க. அதே சொல்றாங்க, அவங்க இங்க போலீஸ் வந்து இப்படி கூட்டம் கூட்டமா வராங்கள, அந்த மாதிரி பாம்பு எல்லாம் வராது. இவங்கள பார்த்தாதான் பயமா இருக்குது, அந்த பாம்பை பார்த்தா பயமா இல்லை எங்களுக்கு."
0061.wav,"அது எங்கள இத்தனை நாள்ல, அங்க காட்டுக்குள்ள இருந்தப்ப, மொத்தமே அது மூணு தடவை, நாலு தடவை பார்த்திருப்போம். இப்ப, அதோட சீசன்ல மட்டும் தான் அது வந்துட்டு போகுது."
0062.wav,"அவங்க என்ன சொல்றாங்கன்னா, இங்க காட்டுக்குள்ள இருக்கறது எங்களுக்கு ரொம்ப சுதந்திரமா, சந்தோஷமா, நிம்மதியா இருக்குது. இவங்க மனிதர்களோட வாழ்றதை விடன்னு, அந்த பெண் சொல்றாங்க."
0063.wav,"ஏன்னா, அந்த குழந்தைங்க வந்து எலக்ட்ரிசிட்டிய பார்கறாங்க. அந்த குழந்தைங்க வந்து ஒரு ஏசி ஃபீல் பண்றாங்க. இந்த மாதிரி டெக்னாலஜி, இன்னைக்கு இருக்கற மாடர்ன் லைஃப் பாக்குறப்போ, அந்த குழந்தைங்க வந்து ஹாப்பியா இருக்காங்க அப்படின்னு சொல்லிட்டு, சில ரிப்போர்ட்ஸ்ல போட்டுருக்காங்க."
0064.wav,"பட், அவங்க அம்மா, அது எல்லாத்துக்கும் கான்ட்ரடிக்ஷனா, இங்க இருக்கற பில்டிங் எல்லாமே வந்து, நீங்க பாம்புகள் கிட்ட இருந்தும், இந்த அனிமல்ஸ் கிட்ட இருந்தும், மலை கிட்ட இருந்து தான கா ப்பாத்துறீங்க. இதுதான் நிம்மதியான வாழ்க்கையா?"
0065.wav,"அப்படிங்கிற ஒரு கேள்வியை மட்டுமே வந்து, அவங்க பிரெண்டுக்கு ரஷ்யால இந்த மெசேஜா அனுப்பிச்சத வந்து, அதையுமே நம்ம ரிப்போர்ட்டரா பார்க்க முடியுது. இது எப்படி மீடியாக்கு வந்துச்சுன்னு தெரியல. பட், அதுவுமே இந்தியன் எக்ஸ்பிரஸ்ல ரிப்போர்ட் பண்ணி இருக்காங்க."
0066.wav,கிட்டத்தட்ட இருபத்து ஐந்து இயர்ஸ்க்கு முன்னாடி இந்தியாவோட பிக்கஸ்ட் பிக்கஸ்ட் கருப்பு நாள் பிளாக் டே வந்து தமிழ்நாட்டுல நடந்துச்சு. அதுவும் சென்னை கிட்ட நடந்துச்சு.
0067.wav,"இந்தியாவோட ஃபர்ஸ்ட் பிரைம் மினிஸ்டரோட பேரன், இந்தியாவோட ஃபர்ஸ்ட் விமன் பிரைம் மினிஸ்டரோட பையன், இந்தியாவோட எங்கஸ்ட் பிரைம் மினிஸ்டர் ராஜீவ் காந்தி வந்து கொல்லப்பட்டாங்க."
0068.wav,அண்ட் இன்னைக்கு வீடியோல உங்ககிட்ட அந்த நாள் என்ன நடந்துச்சு? அண்ட் இவங்க கொல்லப்பட்டாங்கன்னு சொன்னப்ப வந்து ஏதோ வீட்டுக்குள்ள இருக்கறப்பமோ இல்ல வந்து டூர் போனப்பமோ கிடையாது.
0069.wav,"ஒரு எலக்ஷன் ராலி இன்பேக்ட், அதைக்குதான் கடைசி நாள், அந்த ஒரு மணி நேரம் அந்த ராலிய நடத்த முடியலன்னா எலக்ஷன் கமிஷன் ரூல்ஸ் படி அதுக்கப்புறம் ரேலியா நடத்த முடியாது."
0070.wav,"தமிழ்நாட்டுல ப்ராபப்லி அவர் இப்ப உயிரோட கூட இருந்திருக்கலாம். எல்லாமே அவருக்கு வான் பண்ணப்பட்டும், போயிடாதீங்க, போயிடாதீங்கன்னு சொல்லியும், அவர் ஏன் அங்க வந்தாரு?"
0071.wav,"இன்னைக்கு வீடியோல அதுவும் தமிழ்நாட்டில எப்படி இறந்தாருங்கறத உங்ககிட்ட நான் டீடைல்டா சொல்ல போறேன். உலகத்திலேயே முதல் முறையா தற்கொலை படைய வச்சு இறந்து போனது இவ்வளவு பெரிய தலைவர்ங்கிறது உலகத்திலேயே அதுதான் முதல் முறை, ஓகேவா."
0072.wav,இங்க தமிழ்நாட்டுல தான் அது நடத்தப்பட்டிருக்குது. எப்படிங்கறத உங்ககிட்ட ஓவனா சொல்ல ஆரம்பிக்கிறேன்.
